symbol,timestamp,tradingDay,open,high,low,close,volume
"IBM","2020-05-20T12:00:00-04:00","2020-05-20","121.5","121.6698","121.13","121.46","233474"
"IBM","2020-05-20T13:00:00-04:00","2020-05-20","121.445","121.5","121.04","121.215","197158"
"IBM","2020-05-20T14:00:00-04:00","2020-05-20","121.2","121.59","120.94","121.53","299237"
"IBM","2020-05-20T15:00:00-04:00","2020-05-20","121.51","121.58","120.99","121.41","535475"
"IBM","2020-05-21T09:00:00-04:00","2020-05-21","120.99","121.44","120.02","121.2708","389277"
"IBM","2020-05-21T10:00:00-04:00","2020-05-21","121.32","121.72","120.391","120.405","336823"
"IBM","2020-05-21T11:00:00-04:00","2020-05-21","120.39","120.39","119.45","119.935","361791"
"IBM","2020-05-21T12:00:00-04:00","2020-05-21","119.94","120.44","119.74","119.97","238967"
"IBM","2020-05-21T13:00:00-04:00","2020-05-21","119.98","120.42","119.83","119.93","226616"
"IBM","2020-05-21T14:00:00-04:00","2020-05-21","119.92","120.16","119.33","119.35","406306"
"IBM","2020-05-21T15:00:00-04:00","2020-05-21","119.38","119.65","118.97","119.12","827444"
"IBM","2020-05-22T09:00:00-04:00","2020-05-22","119.37","119.465","117.72","118.02","372720"
"IBM","2020-05-22T10:00:00-04:00","2020-05-22","118.06","118.82","117.59","118.19","387569"
"IBM","2020-05-22T11:00:00-04:00","2020-05-22","118.18","118.394","117.96","118.07","284708"
"IBM","2020-05-22T12:00:00-04:00","2020-05-22","118.07","118.26","117.7","118.0801","310206"
"IBM","2020-05-22T13:00:00-04:00","2020-05-22","118.11","118.46","118.05","118.27","220347"
"IBM","2020-05-22T14:00:00-04:00","2020-05-22","118.28","118.58","118.25","118.38","279137"
"IBM","2020-05-22T15:00:00-04:00","2020-05-22","118.38","118.58","118.04","118.39","709035"
"IBM","2020-05-26T09:00:00-04:00","2020-05-26","121.28","122.35","121.0101","122.14","583724"
"IBM","2020-05-26T10:00:00-04:00","2020-05-26","122.15","122.5812","121.68","122.375","640902"
"IBM","2020-05-26T11:00:00-04:00","2020-05-26","122.37","122.62","121.9","121.96","576660"
"IBM","2020-05-26T12:00:00-04:00","2020-05-26","121.975","122.23","121.47","122.215","294734"
"IBM","2020-05-26T13:00:00-04:00","2020-05-26","122.23","122.27","121.64","121.64","266215"
"IBM","2020-05-26T14:00:00-04:00","2020-05-26","121.62","121.98","121.565","121.95","314548"
"IBM","2020-05-26T15:00:00-04:00","2020-05-26","121.94","122.26","121.4699","121.77","834567"
"IBM","2020-05-27T09:00:00-04:00","2020-05-27","123.94","125.18","123.47","124.5","665212"
"IBM","2020-05-27T10:00:00-04:00","2020-05-27","124.4857","125.4783","123.89","125.45","923943"
"IBM","2020-05-27T11:00:00-04:00","2020-05-27","125.44","125.83","124.28","125.07","729119"
"IBM","2020-05-27T12:00:00-04:00","2020-05-27","125.095","125.29","124.4","124.81","363098"
"IBM","2020-05-27T13:00:00-04:00","2020-05-27","124.81","124.91","124.09","124.655","270799"
"IBM","2020-05-27T14:00:00-04:00","2020-05-27","124.68","125.33","124.68","124.96","324511"
"IBM","2020-05-27T15:00:00-04:00","2020-05-27","124.96","125.54","124.54","125.53","807765"
"IBM","2020-05-28T09:00:00-04:00","2020-05-28","126.87","126.97","125.31","125.62","558475"
"IBM","2020-05-28T10:00:00-04:00","2020-05-28","125.62","125.8","124.97","125.31","343298"
"IBM","2020-05-28T11:00:00-04:00","2020-05-28","125.3","125.64","124.9","125.34","330604"
"IBM","2020-05-28T12:00:00-04:00","2020-05-28","125.355","125.91","125.1","125.88","245831"
"IBM","2020-05-28T13:00:00-04:00","2020-05-28","125.89","125.94","125.485","125.64","186448"
"IBM","2020-05-28T14:00:00-04:00","2020-05-28","125.67","125.905","125.495","125.75","191239"
"IBM","2020-05-28T15:00:00-04:00","2020-05-28","125.725","126.13","124.22","124.55","742624"
