symbol,timestamp,tradingDay,open,high,low,close,volume
GOOG,14/05/2020 11:45,14/05/2020,133582,133848,133577,133664,8363
GOOG,14/05/2020 11:50,14/05/2020,13366,1339945,133546,1339945,4232
GOOG,14/05/2020 11:55,14/05/2020,133938,133967,1333738,133411,8078
GOOG,14/05/2020 12:00,14/05/2020,133453,1336053,133279,133533,6460
GOOG,14/05/2020 12:05,14/05/2020,1335491,1335765,13333,133392,5506
GOOG,14/05/2020 12:10,14/05/2020,133458,133789,1334223,1336179,4906
GOOG,14/05/2020 12:15,14/05/2020,1336925,133823,133577,133693,4328
GOOG,14/05/2020 12:20,14/05/2020,1337665,134299,133701,134216,5374
GOOG,14/05/2020 12:25,14/05/2020,1342642,1342642,13402,1340449,4885
GOOG,14/05/2020 12:30,14/05/2020,134129,134324,133978,1341622,7603
GOOG,14/05/2020 12:35,14/05/2020,134143,134191,133955,133955,4750
GOOG,14/05/2020 12:40,14/05/2020,133962,134154,133942,1340165,4018
GOOG,14/05/2020 12:45,14/05/2020,1340096,134037,133825,133925,2950
GOOG,14/05/2020 12:50,14/05/2020,1339973,134278,133871,1342654,13188
GOOG,14/05/2020 12:55,14/05/2020,134325,134481,134269,134413,19496
GOOG,14/05/2020 13:00,14/05/2020,1345,1345305,134177,1341965,7262
GOOG,14/05/2020 13:05,14/05/2020,134257,134257,133931,1339503,6001
GOOG,14/05/2020 13:10,14/05/2020,1340005,1341205,133946,133995,4601
GOOG,14/05/2020 13:15,14/05/2020,1341,134163,13398,13412,5900
GOOG,14/05/2020 13:20,14/05/2020,134207,134273,1341053,1341612,14078
GOOG,14/05/2020 13:25,14/05/2020,134198,134642,134198,134511,10607
GOOG,14/05/2020 13:30,14/05/2020,134599,1348358,1345311,134553,6200
GOOG,14/05/2020 13:35,14/05/2020,1345353,1347546,1344939,134502,3977
GOOG,14/05/2020 13:40,14/05/2020,1345525,1345525,1343647,1343969,3500
GOOG,14/05/2020 13:45,14/05/2020,134433,134676,134433,134635,4479
GOOG,14/05/2020 13:50,14/05/2020,134635,1346935,134387,134394,9621
GOOG,14/05/2020 13:55,14/05/2020,134393,134503,134245,1343364,4935
GOOG,14/05/2020 14:00,14/05/2020,134356,134356,134167,134227,3107
GOOG,14/05/2020 14:05,14/05/2020,1342595,1342595,133938,134127,5274
GOOG,14/05/2020 14:10,14/05/2020,1341542,1344275,134104,1342894,3700
GOOG,14/05/2020 14:15,14/05/2020,134435,134459,1341109,134185,6117
GOOG,14/05/2020 14:20,14/05/2020,134296,1345,134247,134278,7134
GOOG,14/05/2020 14:25,14/05/2020,134336,134336,134081,134227,8110
GOOG,14/05/2020 14:30,14/05/2020,134274,134282,133832,1338665,5936
GOOG,14/05/2020 14:35,14/05/2020,133821,133943,133642,133654,6782
GOOG,14/05/2020 14:40,14/05/2020,1337047,133939,133476,1337076,9038
GOOG,14/05/2020 14:45,14/05/2020,1336687,133704,133391,133548,4852
GOOG,14/05/2020 14:50,14/05/2020,13365,133933,133506,13391,4200
GOOG,14/05/2020 14:55,14/05/2020,13392,13423,1338578,134099,6385
GOOG,14/05/2020 15:00,14/05/2020,133962,134273,133962,1342235,7510
GOOG,14/05/2020 15:05,14/05/2020,1341398,134425,1341398,13426,9720
GOOG,14/05/2020 15:10,14/05/2020,1343755,1343755,134134,1342,10855
GOOG,14/05/2020 15:15,14/05/2020,1342153,134365,134106,134106,12587
GOOG,14/05/2020 15:20,14/05/2020,13414,1345485,13414,1345485,10484
GOOG,14/05/2020 15:25,14/05/2020,1345506,134552,134194,134322,6355
GOOG,14/05/2020 15:30,14/05/2020,13441,1344921,134241,1342495,10212
GOOG,14/05/2020 15:35,14/05/2020,134343,134356,133945,1341785,8432
GOOG,14/05/2020 15:40,14/05/2020,134161,134287,133887,134287,10077
GOOG,14/05/2020 15:45,14/05/2020,134325,134553,1342677,134553,9211
GOOG,14/05/2020 15:50,14/05/2020,134782,135625,134751,135625,41632
GOOG,14/05/2020 15:55,14/05/2020,135588,135742,135173,135726,74024
GOOG,14/05/2020 16:00,14/05/2020,135613,135613,135613,135613,192159
GOOG,15/05/2020 09:30,15/05/2020,1350,135114,134051,1342,85849
GOOG,15/05/2020 09:35,15/05/2020,1341875,1343398,133903,134202,21479
GOOG,15/05/2020 09:40,15/05/2020,134226,134478,133901,13422,12401
GOOG,15/05/2020 09:45,15/05/2020,134156,134325,1339,134181,11064
GOOG,15/05/2020 09:50,15/05/2020,13425,134406,134104,134354,5680
GOOG,15/05/2020 09:55,15/05/2020,134251,134344,134147,134344,6474
GOOG,15/05/2020 10:00,15/05/2020,1344,134604,13427,1342711,19134
GOOG,15/05/2020 10:05,15/05/2020,134267,13485,134177,1348081,13730
GOOG,15/05/2020 10:10,15/05/2020,1348,1351374,134753,135082,8924
GOOG,15/05/2020 10:15,15/05/2020,135115,135398,135019,135136,9098
GOOG,15/05/2020 10:20,15/05/2020,135125,135224,134817,1349239,15307
GOOG,15/05/2020 10:25,15/05/2020,134975,1354,134933,135255,11370
